Date (DD/MM/YYYY),Time (24 hrs XX:XX),Sampling point,Ambient temperature (°C),Ambient humidity,Sample temperature (°C),pH,"EC
(µS/cm)","TDS
(mg/L)","TSS
(mL sed/L)","DO
(mg/L)",Level (cm),Turbidity (NTU),"Hardness
(mg CaCO3/L)",Hardness classification,"Total Cl-
(mg Cl-/L)"
3/11/2023,15:50,Arroyo Salguero,13.0,0.78,24.2,7.4,540,260,10.0,1.44,30.0,7.41,154.0,SEMIDURA,32.0
3/11/2023,15:50,Arroyo Salguero,13.0,0.78,24.6,7.6,580,280,10.0,1.99,30.0,13.0,154.0,SEMIDURA,32.0
3/11/2023,15:55,Puente Falbo,13.0,0.78,24.6,7.6,1110,550,40.0,0.49,55.0,104.0,314.0,SEMIDURA,138.0
3/11/2023,15:55,Puente Falbo,13.0,0.78,24.7,7.6,1160,570,40.0,0.52,55.0,181.0,314.0,SEMIDURA,138.0
21/11/2023,15:25,Puente Bilbao,20.0,0.52,26.3,7.8,1050,520,50.0,1.17,35.0,118.0,108.0,BLANDA,79.0
21/11/2023,15:25,Puente Bilbao,20.0,0.52,26.1,7.8,970,480,50.0,0.91,35.0,92.1,108.0,BLANDA,79.0
21/11/2023,15:40,Arroyo_Las Torres,20.0,0.52,26.2,7.9,1530,760,18.0,1.33,35.0,19.4,234.0,SEMIDURA,150.0
21/11/2023,15:40,Arroyo_Las Torres,20.0,0.52,26.1,8.0,1550,770,18.0,0.55,35.0,24.5,234.0,SEMIDURA,150.0
21/11/2023,15:45,Puente Irigoyen,20.0,0.52,26.2,7.8,1240,610,60.0,1.04,45.0,60.0,177.0,SEMIDURA,115.0
21/11/2023,15:45,Puente Irigoyen,20.0,0.52,26.2,7.8,1260,620,60.0,0.63,45.0,66.1,177.0,SEMIDURA,115.0
21/11/2023,15:50,Arroyo Salguero,20.0,0.52,26.4,7.6,1070,530,10.0,1.85,40.0,2.3,268.0,SEMIDURA,71.0
21/11/2023,15:50,Arroyo Salguero,20.0,0.52,26.3,7.7,1010,490,10.0,1.15,40.0,2.9,268.0,SEMIDURA,71.0
21/11/2023,16:00,Puente Falbo,20.0,0.52,26.3,7.6,1080,530,44.0,0.97,60.0,319.0,137.0,BLANDA,95.0
21/11/2023,16:00,Puente Falbo,20.0,0.52,26.4,7.7,1090,540,44.0,0.64,60.0,388.0,137.0,BLANDA,95.0
28/11/2023,14:50,Puente Bilbao,30.5,0.5,27.7,7.8,1460,700,80.0,0.96,30.0,52.0,154.0,SEMIDURA,142.0
28/11/2023,14:50,Puente Bilbao,30.5,0.5,27.6,7.8,1410,700,80.0,1.31,30.0,63.9,154.0,SEMIDURA,142.0
28/11/2023,15:00,Arroyo_Las Torres,30.5,0.5,27.6,8.2,1570,780,30.0,1.31,30.0,4.47,223.0,SEMIDURA,166.0
28/11/2023,15:00,Arroyo_Las Torres,30.5,0.5,27.6,8.2,1570,780,30.0,0.96,30.0,10.6,223.0,SEMIDURA,166.0
28/11/2023,15:05,Puente Irigoyen,30.5,0.5,27.6,8.0,1530,760,40.0,0.52,40.0,19.6,194.0,SEMIDURA,150.0
28/11/2023,15:05,Puente Irigoyen,30.5,0.5,27.6,7.9,1530,760,40.0,0.47,40.0,21.3,194.0,SEMIDURA,150.0
28/11/2023,15:15,Arroyo Salguero,30.5,0.5,27.6,7.8,1050,520,1.0,1.34,25.0,1.06,245.0,SEMIDURA,71.0
28/11/2023,15:15,Arroyo Salguero,30.5,0.5,27.6,7.6,1030,500,1.0,1.03,25.0,1.64,245.0,SEMIDURA,71.0
28/11/2023,15:20,Puente Falbo,30.5,0.5,27.6,7.3,1510,750,60.0,0.45,55.0,243.0,200.0,SEMIDURA,102.62910798122066
28/11/2023,15:20,Puente Falbo,30.5,0.5,27.6,7.2,1500,740,60.0,0.46,55.0,467.0,200.0,SEMIDURA,102.62910798122066
